book_id,review_score,roberta_compound,rating,title,previewLink,image,genre,publisher,authors
B000PC4JLY,5.0,-0.13679937,0.49230895670186414,Hiroshima,http://books.google.com/books?id=ZIfnDwAAQBAJ&printsec=frontcover&dq=Hiroshima&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=ZIfnDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,History,vintage,John Hersey
B0000CMQXI,4.518518518518518,0.6557343,0.4494139966124371,A Portrait of the Artist as a Young Man,http://books.google.com/books?id=C_rPXanc_HAC&printsec=frontcover&dq=A+Portrait+of+the+Artist+as+a+Young+Man&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=C_rPXanc_HAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Fiction,wordsworth editions,James Joyce
0613175719,4.548387096774194,0.6011134,0.4423904585557761,Ulysses,http://books.google.nl/books?id=7hAaQgAACAAJ&dq=Ulysses&hl=&cd=1&source=gbs_api,https://www.google.com/url?sa=i&url=https%3A%2F%2Fislandpress.org%2Fbooks%2Fwild-cats&psig=AOvVaw1KOBgRGHa-CM0hMZUhZ968&ust=1700839051074000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCMCaz6212oIDFQAAAAAdAAAAABAJ,other,other,"James Augustine Aloysius Joyce, John Vandenbergh (pseud. van Jan Hendrik Willem Schlamilch.)"
B000JJ9ISM,4.8,0.65386105,0.4237432435575357,The Daughter of Time,http://books.google.nl/books?id=d85kzgEACAAJ&dq=The+Daughter+of+Time&hl=&cd=1&source=gbs_api,https://www.google.com/url?sa=i&url=https%3A%2F%2Fislandpress.org%2Fbooks%2Fwild-cats&psig=AOvVaw1KOBgRGHa-CM0hMZUhZ968&ust=1700839051074000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCMCaz6212oIDFQAAAAAdAAAAABAJ,other,other,Josephine Tey
1901768600,4.523809523809524,0.57208496,0.4186071968957875,Persuasion,http://books.google.com/books?id=3zsVAAAAYAAJ&printsec=frontcover&dq=Persuasion&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=3zsVAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,other,little brown,Jane Austen
B000ILIJE0,4.714285714285714,0.8379537,0.41539364295561726,The Hobbit There and Back Again,http://books.google.com/books?id=6lfVzgEACAAJ&dq=The+Hobbit+There+and+Back+Again&hl=&cd=1&source=gbs_api,https://www.google.com/url?sa=i&url=https%3A%2F%2Fislandpress.org%2Fbooks%2Fwild-cats&psig=AOvVaw1KOBgRGHa-CM0hMZUhZ968&ust=1700839051074000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCMCaz6212oIDFQAAAAAdAAAAABAJ,Adventure stories,other,John Ronald Reuel Tolkien
0345462351,4.25,0.6197719,0.4138677175409149,The Awakening,http://books.google.com/books?id=L0jPDAAAQBAJ&pg=PP1&dq=The+Awakening&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=L0jPDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Fiction,lulucom,Kate Chopin
B00005W9DZ,4.621621621621622,0.79834867,0.4136455807316787,"The Lion, the Witch and the Wardrobe",No Link,https://www.google.com/url?sa=i&url=https%3A%2F%2Fislandpress.org%2Fbooks%2Fwild-cats&psig=AOvVaw1KOBgRGHa-CM0hMZUhZ968&ust=1700839051074000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCMCaz6212oIDFQAAAAAdAAAAABAJ,other,other,other
B000NOWYR0,4.333333333333333,0.5519026,0.41315935915584023,Tender Is the Night,http://books.google.com/books?id=DZ5BAAAAQBAJ&printsec=frontcover&dq=Tender+Is+the+Night&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=DZ5BAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Fiction,simon and schuster,F. Scott Fitzgerald
B0007DRGI4,4.835616438356165,0.72924685,0.41232638402804467,To kill a mockingbird,http://books.google.com/books?id=PGR2AwAAQBAJ&printsec=frontcover&dq=To+kill+a+mockingbird&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=PGR2AwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Fiction,harper collins,Harper Lee
